latitude,longitude
38.536219,-121.748923
38.536257,-121.748809
38.536323,-121.748728
38.536404,-121.748692
38.536526,-121.748719
38.536623,-121.748816
38.536663,-121.748905
38.536669,-121.748995
38.536665,-121.749063
38.536646,-121.749125
38.536606,-121.749189
38.536568,-121.749232
38.536516,-121.749264
38.536459,-121.749277
38.536396,-121.749272
38.53635,-121.749251
38.536302,-121.749213
38.536273,-121.749167
38.536244,-121.749121
38.536231,-121.749078
38.536209,-121.749007
38.536213,-121.748976
38.536213,-121.748936
